delta;t_regular_lambda_re;t_regular_lambda_im;r_regular_lambda_re;r_regular_lambda_im;t_random_lambda_re;t_random_lambda_im;r_random_lambda_re;r_random_lambda_im;t_regular_dualv_re;t_regular_dualv_im;r_regular_dualv_re;r_regular_dualv_im;t_random_dualv_re;t_random_dualv_im;r_random_dualv_re;r_random_dualv_im
0.017087999999999999;0.019522569482093882;-0.90596625091952065;0.2297923983578013;0.0059111391312180947;-0.10589636029535868;-0.91820291559702694;0.11284295523099348;-0.0071502850587123398;0.019522569482132955;-0.9059662509213301;0.22980182829157514;0.0055184537675587765;0.015518495741973828;-0.90568712265711315;0.22970572672522493;0.0052010751282372788
0.017092;0.020227061453799752;-0.90595644753397297;0.22974225859751446;0.0060759467618072818;-0.10512859591605794;-0.91828613865129427;0.11284035805278647;-0.0070660101201400587;0.020227061453846659;-0.90595644753592464;0.2297519724166423;0.0056832546911101955;0.01622295958027543;-0.90568053185341169;0.22965672316855909;0.0053655086761901193
0.017095999999999997;0.020931334417018659;-0.90594612652721052;0.22969188185543096;0.0062406286271173656;-0.10436102486832237;-0.91836870050049724;0.11283761941927498;-0.0069817648152721741;0.020931334417027138;-0.90594612652654971;0.22970187947711929;0.005847930294501061;0.016927207084628675;-0.90567342246537363;0.22960748264994643;0.0055298187038860299
0.017099999999999997;0.021635388152733956;-0.9059352883354278;0.22964126852103267;0.0064051844422195522;-0.10359364758474147;-0.91845060174349158;0.1128347395044472;-0.0068975493696575444;0.021635388152841595;-0.90593528833973469;0.22965154986312275;0.0060124802925806183;0.017631238034640999;-0.90566579493779775;0.22955800555611547;0.0056940049246169255
0.017103999999999998;0.022339222442509677;-0.9059239334091832;0.2295904189852962;0.0065696139232677255;-0.1028264644969888;-0.91853184297891044;0.11283171848248537;-0.006813364008271392;0.022339222442547026;-0.90592393340948851;0.22960098396245868;0.0061769044008187484;0.018335052210042752;-0.9056576497030342;0.22950829227143466;0.0058580670522939042
0.017107999999999998;0.023042837067552328;-0.90591206216671472;0.22953933363672469;0.0067339167870478153;-0.10205947603583559;-0.9186124248051698;0.1128285565277611;-0.0067292089555166038;0.023042837067629569;-0.9059120621696034;0.22955018216576262;0.0063412023359391625;0.019038649390819017;-0.90564898719308151;0.22945834318315475;0.0060220048020858301
0.017111999999999999;0.023746231810376557;-0.90589967506904479;0.22948801286729595;0.0068980927516686065;-0.1012926826311235;-0.91869234782047571;0.11282525381483997;-0.0066450844352200925;0.023746231810284041;-0.90589967506558566;0.22949914486227035;0.0065053738154260132;0.019742029357621725;-0.90563980785183795;0.22940815867710251;0.0061858178899063601
0.017115999999999999;0.024449406452791651;-0.90588677253167982;0.22943645706418161;0.0070621415355907454;-0.10052608471179109;-0.91877161262282159;0.11282181051847612;-0.0065609906706398432;0.024449406452773215;-0.90588677253066241;0.22944787244076914;0.0066694185576274415;0.020445191891116769;-0.90563011211069855;0.22935773913866622;0.0063495060325108989
0.017119999999999996;0.025152360777585279;-0.90587335499747457;0.22938466661806362;0.0072260628585950788;-0.099759682705854738;-0.91885021980996273;0.11281822681361117;-0.0064769278844580983;0.025152360777597658;-0.90587335499763877;0.22939636529002955;0.0068333362817765029;0.021148136772344811;-0.90561990040075491;0.22930708495324681;0.0065130689475873579
0.017123999999999997;0.025855094567895372;-0.9058594229105188;0.22933264191968189;0.0073898564413861388;-0.098993477040433112;-0.91892816997946669;0.11281450287537495;-0.0063928962987882046;0.025855094567815776;-0.9058594229071486;0.22934462379886708;0.0069971267080523921;0.021850863782845533;-0.90560917316085632;0.22925619650626225;0.0066765063537194205
0.017127999999999997;0.026557607606612889;-0.9058449766926584;0.22928038335766743;0.0075535220053242393;-0.098227468141725213;-0.91900546372866643;0.11281063887908224;-0.0063088961351726244;0.02655760760680876;-0.90584497669949815;0.22929264835892038;0.0071607895578649095;0.022553372704383592;-0.90559793082967532;0.22920507418598823;0.0068398179707179728
0.017131999999999998;0.027259899678046311;-0.90583001680314235;0.22922789132414889;0.0077170592731198471;-0.097461656435030797;-0.91908210165468562;0.11280663500023362;-0.0062249276145809416;0.027259899677937502;-0.90583001679853647;0.22924043935617303;0.0073243245528443563;0.023255663318869357;-0.90558617382929052;0.22915371837504278;0.0070030035186596801
0.017135999999999998;0.027961970565399449;-0.90581454365260328;0.22917516620616607;0.0078804679677405478;-0.096696042344730518;-0.91915808435440682;0.11280249141451096;-0.0061409909574143776;0.027961970565371592;-0.905814543652122;0.22918799718321911;0.0074877314163683236;0.02395773540892366;-0.90557390260572268;0.22910212946264913;0.0071660627192992434
0.017139999999999999;0.028663820053329729;-0.9057985576895724;0.22912220839557854;0.0080437478136791835;-0.095930626294318685;-0.91923341242453405;0.1127982082977789;-0.0060570863835035385;0.028663820053272539;-0.905798557687443;0.22913532222652566;0.0076510098719174075;0.024659588757100025;-0.9055611175845949;0.22905030783191752;0.0073289952945255234
0.017144;0.029365447926389079;-0.90578205934790801;0.22906901828208456;0.0082068985360598187;-0.095165408706364862;-0.91930808646153239;0.11279378582608462;-0.0059732141121119318;0.029365447926389388;-0.90578205934770795;0.2290824148772802;0.0078141596445162262;0.025361223146702638;-0.90554781920729088;0.22899825387070508;0.0074918009677560045
0.017147999999999997;0.030066853969258959;-0.90576504905345523;0.22901559625378057;0.0083699198607026567;-0.094400390002555012;-0.91938210706161894;0.11278922417565049;-0.0058893743619322994;0.030066853969330655;-0.90576504905559518;0.2290292755233834;0.0079771804596420904;0.026062638360780769;-0.90553400789476945;0.22894596796354724;0.0076544794628781712
0.017151999999999997;0.030768037967713612;-0.90574752725817542;0.22896194270316067;0.0085328115149088841;-0.09363557060366863;-0.91945547482083645;0.11278452352287913;-0.0058055673510911251;0.030768037967551433;-0.90574752725359897;0.2289759045541051;0.0081400720438656836;0.026763834183260109;-0.90551968408773997;0.22889345049641402;0.0078170305048425835
0.017155999999999998;0.031468999706640507;-0.9057294943752896;0.22890805801807984;0.0086955732262676121;-0.092870950929575147;-0.91952819033499023;0.11277968404435272;-0.0057217932971461161;0.031468999706664051;-0.90572949437591532;0.22892230236066746;0.0083028341249229542;0.027464810398115921;-0.90550484821868005;0.22884070185716654;0.0079794538197633259
0.017159999999999998;0.032169738972521865;-0.90571095085630415;0.228853942589965;0.0088582047237495409;-0.092106531399262601;-0.91960025419965763;0.11277470591682363;-0.0056380524170879772;0.032169738972524384;-0.90571095085641384;0.22886846933047836;0.0084654664309298626;0.02816556678978039;-0.90548950071981127;0.22878772242991349;0.0081417491341409017
0.017163999999999999;0.032870255551152243;-0.90569189712214504;0.22879959680745915;0.009020705736849946;-0.0913423124308093;-0.91967166701020731;0.11276958931722232;-0.0055543449273420444;0.032870255551233067;-0.90569189712461029;0.22881440585330656;0.0086279686912272592;0.028866103142768083;-0.90547364201887248;0.22873451260108388;0.0083039161756986741
