delta;qdRe1;qdRe2;qdRe3;qdRe4;qdIm1;qdIm2;qdIm3;qdIm4
1.4728827239075018e-06;0.00027789452163532526;9.0435267780216682e-06;-9.0435267780181886e-06;-0.00027789452163532558;1.390671763160456e-06;2.2619131993012512e-08;-2.2619132099711942e-08;-1.3906717632712778e-06
1.4933932161242533e-06;0.00027789554767377662;9.1062596861547182e-06;-9.1062596861569984e-06;-0.00027789554767377651;1.3906718352011141e-06;2.2776118728738456e-08;-2.2776118836409665e-08;-1.3906718353122827e-06
1.514189325304352e-06;0.00027789658799254281;9.1694275229342345e-06;-9.1694275229376836e-06;-0.00027789658799254232;1.3906719083160204e-06;2.293419484583214e-08;-2.2934194837118345e-08;-1.3906719083150029e-06
1.5352750287804212e-06;0.0002778976427902675;9.2330332989288113e-06;-9.2330332989307662e-06;-0.00027789764279026837;1.3906719825148949e-06;2.3093371048948369e-08;-2.3093371053321581e-08;-1.3906719825153777e-06
1.556654359271062e-06;0.00027789871226835638;9.2970800450474616e-06;-9.2970800450538635e-06;-0.0002778987122683559;1.3906720578154893e-06;2.3253654865549984e-08;-2.325365498582815e-08;-1.3906720579254682e-06
1.5783314056521166e-06;0.00027789979663101107;9.3615708134946471e-06;-9.3615708134964055e-06;-0.00027789979663101036;1.3906721342286712e-06;2.3415047524698262e-08;-2.3415047419379389e-08;-1.3906721341175002e-06
1.6003103137387017e-06;0.0002779008960852696;9.4265086773667715e-06;-9.4265086773670409e-06;-0.00027790089608527063;1.3906722116595941e-06;2.3577564555784921e-08;-2.3577564669337278e-08;-1.3906722117698993e-06
1.6225952870780872e-06;0.00027790201084104942;9.4918967308637579e-06;-9.4918967308642831e-06;-0.00027790201084104921;1.3906722902336453e-06;2.3741205810453869e-08;-2.3741205814318814e-08;-1.3906722902338763e-06
1.6451905877536607e-06;0.00027790314111118179;9.5577380894347265e-06;-9.5577380894360665e-06;-0.00027790314111118174;1.3906723700720059e-06;2.3905987091009457e-08;-2.3905986985887281e-08;-1.3906723699613167e-06
1.6681005372000591e-06;0.00027790428711145791;9.6240358899761256e-06;-9.6240358899798593e-06;-0.00027790428711145916;1.3906724509735603e-06;2.4071912909966162e-08;-2.40719128921015e-08;-1.3906724509745644e-06
1.691329517029647e-06;0.00027790544906066398;9.6907932914258356e-06;-9.6907932914267589e-06;-0.00027790544906066501;1.3906725330610358e-06;2.4238989633034698e-08;-2.4238989628933384e-08;-1.3906725330599569e-06
1.7148819698705409e-06;0.00027790662718062581;9.758013473696204e-06;-9.7580134736995243e-06;-0.0002779066271806257;1.3906726163489457e-06;2.4407225267648816e-08;-2.4407225145027334e-08;-1.3906726162387494e-06
1.7387624002162504e-06;0.00027790782169625252;9.825699639307638e-06;-9.8256996393038331e-06;-0.00027790782169625328;1.3906727008544249e-06;2.4576630833448233e-08;-2.4576630741342347e-08;-1.3906727007432462e-06
1.7629753752872039e-06;0.00027790903283557558;9.893855012063791e-06;-9.8938550120678585e-06;-0.00027790903283557542;1.390672786593325e-06;2.4747214378274087e-08;-2.4747214387952487e-08;-1.3906727865916883e-06
1.7875255259042354e-06;0.00027791026082979448;9.9624828384844187e-06;-9.962482838490165e-06;-0.00027791026082979491;1.3906728735800435e-06;2.4918980989268089e-08;-2.4918980977365768e-08;-1.3906728735800694e-06
1.8124175473742357e-06;0.0002779115059133217;1.0031586387612137e-05;-1.0031586387605193e-05;-0.00027791150591332121;1.3906729618314837e-06;2.5091941883502465e-08;-2.5091941994243685e-08;-1.3906729619423152e-06
1.8376562003881725e-06;0.00027791276832382075;1.010116895027195e-05;-1.0101168950278315e-05;-0.00027791276832382059;1.390673051362945e-06;2.5266102056118426e-08;-2.5266102163496654e-08;-1.3906730514740946e-06
1.8632463119315598e-06;0.00027791404830226332;1.0171233840504251e-05;-1.017123384050737e-05;-0.0002779140483022637;1.390673142302621e-06;2.5441471712163405e-08;-2.5441471594494376e-08;-1.3906731421885699e-06
1.8891927762076682e-06;0.00027791534609296087;1.0241784394860929e-05;-1.0241784394859615e-05;-0.00027791534609296147;1.3906732345551629e-06;2.5618063283550031e-08;-2.5618063266422016e-08;-1.3906732345552798e-06
1.9155005555735278e-06;0.00027791666194362406;1.0312823973139341e-05;-1.0312823973140129e-05;-0.00027791666194362384;1.3906733280289117e-06;2.5795877638845664e-08;-2.5795877751664163e-08;-1.3906733281387126e-06
1.9421746814890245e-06;0.00027791799610539698;1.0384355957712029e-05;-1.0384355957715058e-05;-0.00027791799610539709;1.3906734229589089e-06;2.597492654637426e-08;-2.5974926547093408e-08;-1.3906734229596668e-06
1.9692202554791733e-06;0.0002779193488329185;1.0456383754583084e-05;-1.0456383754580979e-05;-0.00027791934883291921;1.3906735193680388e-06;2.6155221346567497e-08;-2.6155221227404814e-08;-1.3906735192552685e-06
1.9966424501097934e-06;0.00027792072038435701;1.0528910793193315e-05;-1.0528910793195766e-05;-0.00027792072038435733;1.3906736170461927e-06;2.6336767380444942e-08;-2.6336767377791863e-08;-1.390673617045251e-06
