delta;qdRe1;qdRe2;qdIm1;qdIm2
3.4240061379714255e-06;2.5977700944493477e-06;-2.5977700944490144e-06;3.353977161273831e-09;-3.3539771582573499e-09
3.4716868189265596e-06;2.624553417583511e-06;-2.6245534175833005e-06;3.3903841773243996e-09;-3.3903841751751192e-09
3.5200314727966823e-06;2.651607773913076e-06;-2.6516077739135393e-06;3.4271792010209612e-09;-3.4271792003148099e-09
3.5690493456752295e-06;2.6789358514352098e-06;-2.6789358514336296e-06;3.4643662874390922e-09;-3.4643662875463448e-09
3.6187498124112769e-06;2.7065403641779855e-06;-2.7065403641779126e-06;3.5019495481351211e-09;-3.5019495491633851e-09
3.6691423784024939e-06;2.7344240524841192e-06;-2.7344240524837846e-06;3.5399331424580141e-09;-3.5399331397540864e-09
3.7202366814130657e-06;2.7625896832064867e-06;-2.7625896832073003e-06;3.5783212505459124e-09;-3.578321250760991e-09
3.7720424934170015e-06;2.7910400500147497e-06;-2.7910400500168295e-06;3.6171181154855037e-09;-3.6171181152811091e-09
3.8245697224669987e-06;2.8197779735931527e-06;-2.8197779735940286e-06;3.6563280213099321e-09;-3.6563280216627135e-09
3.8778284145894531e-06;2.8488063019330017e-06;-2.8488063019311006e-06;3.6959552991295846e-09;-3.6959552989577159e-09
3.9318287557057703e-06;2.878127910554097e-06;-2.8781279105546421e-06;3.7360043142989965e-09;-3.736004315381345e-09
3.986581073580439e-06;2.9077457027900159e-06;-2.9077457027896068e-06;3.7764794863894346e-09;-3.7764794878878574e-09
4.0420958397963097e-06;2.9376626100321199e-06;-2.9376626100315036e-06;3.8173852907244201e-09;-3.8173852917666891e-09
4.0983836717572612e-06;2.9678815919849344e-06;-2.9678815919841797e-06;3.8587262282701998e-09;-3.8587262260160789e-09
4.1554553347188712e-06;2.9984056369406115e-06;-2.9984056369402977e-06;3.9005068554737259e-09;-3.9005068531198577e-09
4.2133217438472893e-06;3.0292377620469986e-06;-3.0292377620470808e-06;3.9427317925515958e-09;-3.9427317911070406e-09
4.271993966306777e-06;3.0603810135470096e-06;-3.0603810135476699e-06;3.9854056860297095e-09;-3.9854056856008469e-09
4.3314832233764026e-06;3.0918384670941245e-06;-3.0918384670942147e-06;4.0285332391050819e-09;-4.0285332426159747e-09
4.3918008925960862e-06;3.1236132279786439e-06;-3.1236132279788324e-06;4.0721192094925377e-09;-4.0721192096556503e-09
4.4529585099426508e-06;3.1557084314244447e-06;-3.1557084314244718e-06;4.116168412693181e-09;-4.1161684112098526e-09
4.5149677720361018e-06;3.1881272428716392e-06;-3.1881272428732786e-06;4.160685690186995e-09;-4.1606856918109044e-09
4.5778405383766162e-06;3.2208728582364988e-06;-3.2208728582360824e-06;4.205675955600805e-09;-4.2056759568187631e-09
4.641588833612782e-06;3.2539485041938681e-06;-3.25394850419419e-06;4.2511441661315447e-09;-4.2511441657088364e-09
4.7062248498412814e-06;3.2873574384792847e-06;-3.2873574384806163e-06;4.2970953397582187e-09;-4.2970953409489469e-09
4.7717609489387412e-06;3.3211029501553824e-06;-3.3211029501552935e-06;4.3435345321168701e-09;-4.3435345334851186e-09
4.838209664925957e-06;3.3551883598997094e-06;-3.3551883599005386e-06;4.3904668677947931e-09;-4.390466865143135e-09
4.9055837063650459e-06;3.3896170203089811e-06;-3.3896170203093322e-06;4.4378975222303939e-09;-4.4378975202261982e-09
4.9738959587900673e-06;3.4243923161672804e-06;-3.4243923161674227e-06;4.485831716939542e-09;-4.4858317187480698e-09
5.0431594871713585e-06;3.4595176647649175e-06;-3.4595176647652564e-06;4.5342747449505183e-09;-4.5342747456598439e-09
5.1133875384143206e-06;3.4949965161835314e-06;-3.4949965161829342e-06;4.5832319412768294e-09;-4.5832319422087841e-09
