z;S_dispersion_relation_re;S_dispersion_relation_im;S_kernel_re;S_kernel_im;S_discrete_re;S_discrete_im
0.0029000000000000002;4.2442966712395197e-05;-6.3693480788908368e-20;-2.3700446437605833e-05;0;-1.5402392476514415e-05;1.9295121456508548e-05
0.0030000000000000001;4.2547714869355685e-05;-6.3824987987717452e-20;-2.3806524460778224e-05;0;-2.4711818357087446e-05;1.5205742667751435e-06
0.0031000000000000003;4.2652700390069764e-05;-6.3956729812472639e-20;-2.3911294683683741e-05;0;-1.7751706536413166e-05;-1.7358931227018205e-05
0.0032000000000000002;4.2757923755971378e-05;-6.4088706593223262e-20;-2.4014827717540647e-05;0;9.7284556936996287e-07;-2.4879659818800902e-05
0.0033;4.2863385449327932e-05;-6.4220918660278609e-20;-2.4117191365180114e-05;0;1.9160774980532357e-05;-1.6009867904404278e-05
0.0034000000000000002;4.2969085953241474e-05;-6.4353366344207607e-20;-2.4218450560301641e-05;0;2.4795860926780803e-05;3.4846463042797922e-06
0.0035000000000000001;4.307502575164988e-05;-6.448604997583869e-20;-2.4318667359728639e-05;0;1.4085113509279477e-05;2.0787797397569052e-05
0.0036000000000000003;4.3181205329327656e-05;-6.4618969886259075e-20;-2.4417900974080014e-05;0;-5.989426822965476e-06;2.4458422330196821e-05
0.0037000000000000002;4.3287625171887404e-05;-6.4752126406815081e-20;-2.451620782591149e-05;0;-2.2221427145938252e-05;1.1994994128193427e-05
0.0038;4.3394285765780666e-05;-6.4885519869111325e-20;-2.4613641627096302e-05;0;-2.3867908475607171e-05;-8.4615690148268245e-06
0.0039000000000000003;4.3501187598299006e-05;-6.5019150605010552e-20;-2.4710253469252649e-05;0;-9.7589452465320907e-06;-2.3444855387221549e-05
0.0040000000000000001;4.3608331157575361e-05;-6.5153018946633577e-20;-2.4806091922561271e-05;0;1.0875497973978517e-05;-2.3027472716604235e-05
0.0041000000000000003;4.3715716932584945e-05;-6.5287125226358763e-20;-2.4901203139480071e-05;0;2.4443226746698145e-05;-7.3981121744099274e-06
0.0042000000000000006;4.3823345413146426e-05;-6.5421469776821811e-20;-2.499563096074462e-05;0;2.194285250842135e-05;1.320594247854887e-05
0.0043;4.3931217089922959e-05;-6.5556052930915417e-20;-2.5089417021716651e-05;0;4.935151534842179e-06;2.520381380220238e-05
0.0044000000000000003;4.4039332454423308e-05;-6.5690875021788903e-20;-2.5182600857655247e-05;0;-1.5428197166679134e-05;2.0622342156521425e-05
0.0045000000000000005;4.4147691999003078e-05;-6.5825936382848212e-20;-2.5275220006877107e-05;0;-2.571617009166879e-05;2.3940191364877832e-06
0.0045999999999999999;4.425629621686565e-05;-6.5961237347755194e-20;-2.536731011107215e-05;0;-1.9076734963788758e-05;-1.7518380453667638e-05
