NAtoms;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
1698;0.2082792986857751;-2.6748373189914716;0.031206947761166906;0.15185679349461156;0.045762364916091688;54.509520573801375;42.450000000000003;42.450000000000003;0.017148459969830412;0.87335611448984563;0.014795628898860293;0.86279636334052767;0.42778904106102267;0.60934749642300179;0.26049109769785561;0.60892419556090838;0.84066735983799623
1737;0.20725164138461;-2.6804148356403896;0.029845317735752157;0.14847817233255173;0.037715877162796334;55.618177693999861;43.424999999999997;43.424999999999997;0.016780825608387177;0.89058701328618539;0.014755660586316364;0.87931672318562082;0.42911357278746876;0.61223595040368917;0.26252963129392504;0.61179521679672122;0.84325571390420029
1778;0.20620781792942605;-2.7359450991115439;0.029044265836454784;0.15371407590514641;0.035893307021865654;56.781848516424489;44.449999999999996;44.449999999999996;0.017887171284144569;0.88334479893718043;0.015604019998625686;0.8723581694807887;0.43083119974258877;0.6137493203849157;0.26422583631970986;0.61329317950412698;0.84587439153097221
1819;0.20518529472090469;-2.7673033411471826;0.02803608429699235;0.15551641669154082;0.038650119079767536;57.941014604685961;45.475000000000001;45.475000000000001;0.018491406126570974;0.88944990467123763;0.01624243808228603;0.87837766209388912;0.43242736905219809;0.61691124799319297;0.26656456657417504;0.61643777811389677;0.84839055329135737
1862;0.20416986224383457;-2.8342934938928934;0.027377613076348149;0.16210668959239663;0.044373367912242015;59.158815526565419;46.550000000000004;46.550000000000004;0.019963787606964659;0.88173330441636077;0.017390746145674735;0.8711145644330397;0.43425049782419578;0.61903285136905895;0.26860333360686472;0.61854467629328425;0.8509347770354726
1905;0.20312805250483526;-2.8323150488390638;0.026103871123534357;0.15604823607280066;0.036639363691709233;60.362624755538398;47.625;47.625;0.018990627188316445;0.9015733143169391;0.016900660043109358;0.88994743962469591;0.43528347303846343;0.62111973630575734;0.27014237333988605;0.62061252051261584;0.85336605281149636
1949;0.20212665947896327;-2.8968942019007056;0.025483569167365286;0.16210577726601164;0.037195132128620759;61.598318096677048;48.725000000000009;48.725000000000009;0.020384606035184046;0.89458635181206858;0.018007306377889012;0.8833776991720228;0.43702437155544432;0.62326788638368569;0.27215477238926761;0.62274506893201931;0.85576763515917131
1995;0.20107222630256738;-2.9073518129854179;0.024380233597544661;0.16005975799295488;0.032141531794553854;62.879179985772716;49.875;49.875;0.020242998691210049;0.90839401363573113;0.018150712657819288;0.89664149737364374;0.43833530223412637;0.62628634476406864;0.27428550804595231;0.62574359548035952;0.85817017709271415
2041;0.20010551600331389;-2.9546819309561214;0.023649520361777143;0.16402655038588546;0.029077998788049546;64.169034383435942;51.024999999999999;51.024999999999999;0.021323916918265108;0.9089679115285596;0.019137453403490375;0.89746426403950641;0.43999605209121101;0.62943671213119812;0.27670436555568573;0.6288792007122942;0.86049565575905096
2089;0.19903983457559682;-3.0187731395332777;0.02304391602567759;0.16886492229990002;0.033506444406838816;65.493056860512866;52.225000000000001;52.225000000000001;0.022510190156470728;0.90304212844445531;0.020073103858992344;0.89173408662752573;0.44160975303721028;0.63098792342214338;0.27839587486031847;0.6304115181914034;0.86280224407121764
2137;0.19803010565839962;-3.0485274444198707;0.022214137884587429;0.16944353912061483;0.033449655116676899;66.819307797881606;53.424999999999997;53.424999999999997;0.022903129007931042;0.91018086144247945;0.020582368885483749;0.89867060864724446;0.44299809872296564;0.63384945977074347;0.28053048475033493;0.63325437639353876;0.8650257926677738
2187;0.19698339405316817;-3.0928024898140398;0.02149704922920961;0.17196582429366242;0.029360137161423799;68.191651763512226;54.675000000000004;54.675000000000004;0.023658480985061403;0.91033355288268103;0.021264213781664449;0.8987987772795405;0.44445689379352415;0.63579163050191589;0.28230907792352794;0.63517763334474631;0.86724315235443061
2238;0.19600096880476495;-3.1282838116249883;0.020743058555267702;0.17304370971109465;0.033354238460522774;69.600529837721211;55.950000000000003;55.950000000000003;0.024179087539514116;0.91667980393776582;0.021883668531220094;0.90506593747415875;0.44587824710777624;0.63878559769178977;0.28453978988261258;0.6381558008902698;0.86943272164158503
2290;0.19501412702735257;-3.2018723259537172;0.020261677794669301;0.179305903267896;0.033502036944503266;71.030245836078976;57.25;57.25;0.025871976005089854;0.91174491085571974;0.023299346867259919;0.90056309818299862;0.4476475925730663;0.64168630403212101;0.28696003359792566;0.64104004658773461;0.87157282857283669
2344;0.19399861565110788;-3.2248622665977544;0.019457083065722691;0.17834292276201491;0.03139250254945139;72.506336482791625;58.600000000000001;58.600000000000001;0.025946052072204698;0.9217225700642504;0.023616842219077817;0.9102287374339274;0.44890152153750568;0.64458056818761678;0.28905497823299547;0.64391623633390815;0.87370001467677139
2398;0.19294176867482771;-3.2471227775192331;0.018699996696744062;0.17910755308082377;0.029492671159146933;73.961103284998586;59.950000000000003;59.950000000000003;0.0263814426075029;0.92692676380259442;0.024144780340172405;0.91521834872311392;0.45019396102537285;0.64705394933649507;0.29099089556846353;0.64636783422348776;0.87571763432140182
2454;0.19194661633137025;-3.3103098015201766;0.01818876197542104;0.18326520771904919;0.027431152508333414;75.483424911118647;61.350000000000001;61.350000000000001;0.027651196061132741;0.92594521719128609;0.025285181310937484;0.91443354764964435;0.4517863477713922;0.64987876192325356;0.29328804091201371;0.64917420005887383;0.87775055319030282
2511;0.19091204596890771;-3.3561849440341547;0.017597483404670423;0.18533883317967664;0.027132686240489808;77.015795383500318;62.775000000000006;62.775000000000006;0.028423272516750774;0.9285822205898947;0.026066236529083586;0.91707372941387699;0.45317305563347993;0.65244369407595715;0.29534279349224457;0.65172187494552569;0.87971831534371325
2570;0.18990125308595471;-3.4246396864883497;0.017128101269175293;0.18930651820377617;0.030383221482051449;78.605537916165432;64.25;64.25;0.029658853241074722;0.92682200489854583;0.027152005923740691;0.91547726754781322;0.45470210366486369;0.65478292810344207;0.29739470295233028;0.65404294494208859;0.88168334988057373
2630;0.18888184975683564;-3.4565036621995162;0.016492197231812368;0.19121374999487931;0.025414291068592297;80.212287191949514;65.750000000000014;65.750000000000014;0.030492390204988232;0.93211800417190094;0.028076169201078596;0.9207598686863725;0.45613536165229307;0.65828856876901154;0.29992235768779751;0.65752928385417531;0.8835924676081659
2691;0.18786848193271019;-3.5065758553445407;0.015967916310970682;0.19429057824299706;0.024547735000019232;81.839675752141275;67.275000000000006;67.275000000000006;0.031601302260430321;0.93377432957901607;0.029152454873663171;0.92250802303696566;0.45761489503093883;0.66129478732549396;0.3022623147280688;0.66051677515355611;0.88545195998375414
2754;0.18687902575595233;-3.5594708290994235;0.015463067726454444;0.19674707051611054;0.024218596109115857;83.523756623968424;68.850000000000009;68.850000000000009;0.032542874238230449;0.93592164727200988;0.030093193663388154;0.92472451705066427;0.45902187152451662;0.6640272098815676;0.30443862582241793;0.66323337668270055;0.88730504930529486
2818;0.18578840082696862;-3.6113127795152593;0.01497176698999711;0.19924356111325323;0.02350732107832796;85.196730513163658;70.450000000000003;70.450000000000003;0.033461118914763145;0.93649662350579355;0.030960151239295658;0.92525750015000086;0.46034598958906153;0.66617867449306889;0.30629660750953525;0.66536173755517669;0.88906379281295667
2884;0.18481494091636722;-3.6639639941134128;0.014491215039735741;0.20271566913928346;0.026525089891627617;86.952607603828113;72.100000000000009;72.100000000000009;0.034819102340408234;0.93976181879044318;0.032336960225033781;0.92871320773557453;0.46194071876402837;0.67015522292369512;0.30918728264180073;0.66932242619586402;0.89085156874688398
2951;0.18377589544597883;-3.7002257433999084;0.013965776492410924;0.20330424516854706;0.02242311059940533;88.706322619368422;73.775000000000006;73.775000000000006;0.035204643395310098;0.9426638776330557;0.032792132294468958;0.93147179269077529;0.4630379775405003;0.67181996845971381;0.31068414610766554;0.67096903748136094;0.89255844379786131
3019;0.18280340195862674;-3.7611144152763631;0.013553532231196378;0.20812539517679984;0.018635005734038167;90.497631909269415;75.474999999999994;75.474999999999994;0.03696230974096236;0.94296859597290028;0.034451023083775054;0.93205817832308657;0.464715768941522;0.67568425518540631;0.31359785397359002;0.674816468328304;0.89424206892742442
3090;0.18174430203678654;-3.8101704684496251;0.013096342317342816;0.20990081023988832;0.02295554852384659;92.339786848215596;77.25;77.25;0.037779371331313268;0.94583395457614294;0.035319767829706042;0.93489559474038697;0.46599113468889408;0.67824827574781599;0.31564443925852026;0.67736146840916067;0.89589519071589352
3162;0.18068928631335457;-3.8831393924951882;0.012737842283448113;0.21415430465614402;0.025608372591228595;94.198685758995722;79.049999999999997;79.049999999999997;0.03936319926663473;0.94529830427202899;0.036787424814681537;0.93456389470516221;0.46753035046285207;0.68129052584096694;0.31810145761065795;0.68038675413422789;0.89749529083748647
3235;0.17972762255030839;-3.9050614864975537;0.012227664065736006;0.21510654341667296;0.01780448286887501;96.104051712019896;80.875;80.875;0.039992429093748019;0.95010538861442273;0.037565593664019119;0.93931762874317914;0.46873454463931047;0.68413835132985146;0.32024784985915533;0.68321793970953193;0.89908566665134027
3311;0.17870792851230385;-4.000908044324289;0.011952660295622381;0.21983813537015701;0.021604473732232884;98.066390403065583;82.775000000000006;82.775000000000006;0.041737761889030264;0.94795821079528431;0.039125861462214841;0.93742116710139423;0.47029944775789184;0.68684304708428401;0.32258211311937679;0.68590791389880745;0.90065074673710666
3388;0.1776749641231074;-4.0684895310262545;0.011600784096216421;0.22396870654447654;0.0197501521420093;100.03871980208883;84.700000000000017;84.700000000000017;0.043378409723147764;0.94788399847842042;0.04066823137530106;0.93752241345075205;0.47182919008871194;0.68998266166445466;0.32510449134768193;0.68903005192738653;0.90215546656520507
3467;0.17667699958066826;-4.1038564953664647;0.011165688541703184;0.22540605226708391;0.019975675202925418;102.06787189337174;86.675000000000011;86.675000000000011;0.044236999108535763;0.95287680417601861;0.041695675123353419;0.94255207097237337;0.47310548660255675;0.69333614461018389;0.32756439886141631;0.69237074635026241;0.90364949782501425
