z;S_dispersion_relation_re;S_dispersion_relation_im;S_kernel_re;S_kernel_im;S_discrete_re;S_discrete_im
0.4892378680049001;0.019430919762584924;-3.5696074676856745e-21;-0.019442415166661495;0;0.0075485167927900792;0.01797507067711536
0.48934559237485387;0.019431444933837621;-3.4410765968468347e-21;-0.019442601002363395;0;-0.0092554862874168423;0.017154284247900258
0.48934587360639553;0.019431960482726388;-3.3148973303656827e-21;-0.019442777188674903;0;-0.009295358540834445;0.01713229437371111
0.48959970242237094;0.019432466408484585;-3.1910700435521485e-21;-0.019442943725854055;0;-0.0095902367313657425;-0.016952622296326127
0.48967454528832899;0.019432962710359877;-3.0695951047254501e-21;-0.019443100614173221;0;0.0020549899183275465;-0.019421295491565238
0.48982476913574036;0.01943344938761421;-2.9504728752122931e-21;-0.019443247853919092;0;0.018915823949042319;-0.0040637420768135993
0.48995035012074312;0.019433926439523849;-2.8337037093458049e-21;-0.019443385445392699;0;0.012899770172180278;0.014541073660803188
0.48997112302181656;0.019434393865379356;-2.7192879544641717e-21;-0.019443513388909386;0;0.010217915355000405;0.016574470874487036
0.49002493655799412;0.019434851664485588;-2.6072259509092595e-21;-0.019443631684798807;0;0.0020659988556926559;0.019417068308878484
0.49013424123909144;0.019435299836161716;-2.4975180320255958e-21;-0.01944374033340493;0;-0.013956702654876569;0.013525375168580853
0.49019007952671118;0.019435738379741215;-2.3901645241587779e-21;-0.019443839335086085;0;-0.018485526367118317;0.0057413658287868838
0.49034096306107428;0.019436167294571875;-2.2851657466544933e-21;-0.019443928690214888;0;-0.011041856401551607;-0.016026701734285959
0.49039743922161916;0.019436586580015784;-2.1825220118572765e-21;-0.019444008399178255;0;-0.0026180263958626936;-0.019348553858491668
0.49044606925247564;0.019436996235449359;-2.0822336251092833e-21;-0.019444078462377418;0;0.0051684612312567057;-0.01882183520703741
0.49050517315767311;0.019437396260263317;-1.9843008847493923e-21;-0.019444138880227942;0;0.013384364005237495;-0.014102132304139715
0.4906902324280864;0.019437786653862702;-1.888724082111743e-21;-0.019444189653159649;0;0.014277988509340268;0.013163853993653342
0.49072033829272549;0.019438167415666858;-1.7955035015248899e-21;-0.019444230781616716;0;0.010582170527538787;0.016340646790362859
0.49084336943539036;0.019438538545109459;-1.7046394203106928e-21;-0.019444262266057586;0;-0.0083943429749111509;0.017596731515930403
0.49086499631419006;0.019438900041638511;-1.616132108783218e-21;-0.019444284106955031;0;-0.011388806009472369;0.015787643599524337
0.49088141554532849;0.019439251904716306;-1.529981830247947e-21;-0.019444296304796084;0;-0.013419320175146942;0.014066951504274137
0.49115223625445581;0.019439594133819495;-1.4461888410004917e-21;-0.019444298860082091;0;-0.00215121776297293;-0.019407050693535637
0.49161517605538602;0.019439926728439038;-1.3647533903258439e-21;-0.019444291773328702;0;-0.011165589546624964;0.015949064288351099
0.49161614893220723;0.019440249688080204;-1.2856757204974029e-21;-0.01944427504506582;0;-0.011293578469529065;0.015856913091634121
0.49164015383656279;0.019440563012262616;-1.2089560667760189e-21;-0.019444248675837675;0;-0.014194922311970833;0.013267537687207218
0.49172284645186226;0.019440866700520202;-1.1345946574092986e-21;-0.019444212666202724;0;-0.019308230994121503;0.0010907183449440233
0.49185845091945624;0.019441160752401238;-1.0625917136304996e-21;-0.019444167016733769;0;-0.0091543522649533294;-0.017198483174678956
0.4918893310736383;0.019441445167468312;-9.929474496578787e-22;-0.019444111728017858;0;-0.00450423355782964;-0.0189895777198466
0.49192168716502194;0.01944171994529835;-9.2566207269384542e-22;-0.019444046800656308;0;0.00068252738326537163;-0.01951603832617848
0.49195668769558548;0.019441985085482612;-8.6073578292416518e-22;-0.019443972235264728;0;0.0062257388834652642;-0.018489961338544823
0.49201063692591501;0.01944224058762669;-7.9816877351735455e-22;-0.019443888032472972;0;0.0135807764415982;-0.013905234159721658
0.49203636472588524;0.019442486451350504;-7.3796123062374461e-22;-0.019443794192925194;0;0.016205080063466083;-0.010659974405318367
0.49227360366984307;0.019442722676288313;-6.8011333337493674e-22;-0.019443690717279766;0;0.003185350885917915;0.019260008732804933
0.49228351367103557;0.019442949262088713;-6.2462525388309689e-22;-0.019443577606209371;0;0.0015966765427707088;0.019460440806294835
0.49229763811320082;0.019443166208414634;-5.7149715724029039e-22;-0.019443454860400906;0;-0.00068382418059328358;0.019515369491270675
0.49233169339010441;0.019443373514943338;-5.2072920151798329e-22;-0.01944332248055557;0;-0.0060821241540794969;0.018537525876650092
