kd_ensemble;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
0.014;0.13422199498876539;-8.1180221061903097;0.0026902097897064155;0.40494136060612929;0.0096119320678986851;255.81716338238735;250;250;0.1541179096536246;0.98872715516707688;0.15184429317148232;0.98524755177868584;0.55007601557605157;0.83970856698747609;0.46136727357290463;0.83873366681830475;0.94724270827959001
0.014999999999999999;0.13422325531981147;-8.1361067022877833;0.0026899303795804141;0.40495044735773372;0.0096101684791399071;255.81845327174477;250;250;0.15412566691650278;0.98873239110088951;0.15185286262975686;0.9852535639766139;0.55008065692519903;0.83971788720460561;0.46137639047473383;0.83874316369112512;0.94724359247679046
0.016;0.13421977221063525;-8.1559709761041326;0.0026909997386667544;0.40497867497399853;0.0096125125794177431;255.8148884726557;250;250;0.15414395299612108;0.98871436392091838;0.15186810095432207;0.98523554120961021;0.55008709343904927;0.83972160188582512;0.46138377579486234;0.83874677537037068;0.94724114879451815
0.017000000000000001;0.13420547980946096;-8.1684427473443666;0.0026902961826177877;0.40498007468663744;0.0096096333714638833;255.80026083026164;250;250;0.15414587194079946;0.98873306769813751;0.15187328846677567;0.98525692939155329;0.55008428306485613;0.83973613504712152;0.46138981744079377;0.83876204364558238;0.94723111909316982
0.018000000000000002;0.13422560542036036;-8.1818061561975526;0.0026904123552695357;0.4049843694496264;0.009609891671510034;255.82085848745677;250;250;0.15415035636941354;0.9887242604939771;0.15187606570428455;0.9852462834423894;0.55009302289656581;0.8397323050355272;0.46139475069894753;0.83875768550822671;0.94724524113103781
0.019;0.13422231835127565;-8.1960455628756499;0.0026912579634672867;0.40500437349812912;0.0096130033739413902;255.81749432870569;250;250;0.15416299215001775;0.98870997260676974;0.1518863136681074;0.98523200380221676;0.5500970206730994;0.83973382872291358;0.46139890326137528;0.8387591387003096;0.94724293514052127
0.02;0.13422797482959098;-8.2042149754885632;0.0026905059586022338;0.40499639230001627;0.0096079822040169953;255.82328346295469;250;250;0.15415944281266156;0.98872253617296335;0.15188481714172436;0.98524497994131066;0.55009819180778297;0.83973826704959031;0.46140240416475992;0.83876371716194364;0.94724690322394289
0.021000000000000001;0.13425596497301703;-8.2121577354792556;0.0026900046506601639;0.40498637352203515;0.0096032488246618353;255.85192988673504;250;250;0.15415532301467588;0.98872220674363198;0.1518803580690585;0.98524238475112014;0.55010611918138397;0.83973211070277531;0.46140533948740714;0.83875696597236005;0.94726652962713764
0.021999999999999999;0.13423013308802151;-8.2217954727534241;0.0026903354748853275;0.40500099615437113;0.0096064826355048514;255.82549233433369;250;250;0.15416361751618693;0.98872578703651481;0.15188951367061573;0.98524876438286468;0.55010123310028514;0.83974342475990482;0.4614078630578079;0.83876900340212801;0.94724841710543239
0.023;0.13422277390000059;-8.2314519497279086;0.0026909155705819752;0.40501482388167964;0.0096088894493398802;255.81796056134189;250;250;0.15417199227392439;0.98871789332862003;0.1518966329493672;0.98524142231674317;0.55010214517082012;0.83974591270856602;0.46141005351742714;0.83877159463566187;0.94724325473573845
0.024;0.13423224070942491;-8.2377480121973932;0.0026906152783869189;0.40501051081960904;0.0096067601076775568;255.82764937981611;250;250;0.15417027834342723;0.98872052518312681;0.15189527041646225;0.98524353752610339;0.55010486160625627;0.83974527971341206;0.46141191272637389;0.83877083249017825;0.94724989538234461
0.025000000000000001;0.13423012340361276;-8.2458710285540846;0.0026910969896338588;0.40502084459433657;0.0096085047862126197;255.82548242282073;250;250;0.15417664828728037;0.98871248291418501;0.15190031083957298;0.9852355238423276;0.55010664625845951;0.8397455718672282;0.46141355435434245;0.83877109555508644;0.94724841031263207
0.026000000000000002;0.13423966174384949;-8.2491227480288813;0.0026901588289900765;0.40500595005358442;0.0096017849011676738;255.83524442783033;250;250;0.15416865003204991;0.98872698964593531;0.15189466780296046;0.98525003475987682;0.55010715836999113;0.83974730578890222;0.46141496669538351;0.83877288211007972;0.94725509978945033
0.027;0.13423039202949402;-8.2571519228335681;0.0026909242853830877;0.40502158275082345;0.0096078980849635155;255.82575734810155;250;250;0.15417776091499771;0.98871633232080514;0.15190208056573781;0.98523989234404208;0.55010755444289117;0.83974883961310609;0.46141619077424867;0.83877450336332382;0.94724859873048106
0.028000000000000001;0.13423272167659847;-8.2626797052737544;0.0026910063466355906;0.40502383768247591;0.0096073657540874345;255.82814162555903;250;250;0.15417943433873563;0.98871419053692211;0.15190337637676066;0.98523760336949728;0.55010904571680586;0.83974862917645854;0.46141729879535454;0.83877424373946852;0.9472502327188278
0.029000000000000001;0.13423406634705276;-8.2671336027499525;0.0026908570553504981;0.40502246013119458;0.0096054294989954964;255.82951782784625;250;250;0.15417892045454179;0.98871680174396737;0.15190329591952481;0.98524036536052972;0.55010945453262561;0.83974972070443277;0.4614182675920131;0.83877538149936948;0.9472511758083898
0.029999999999999999;0.13421642650144311;-8.271702512976173;0.0026908514689708641;0.40502756724722078;0.0096064267951648727;255.81146429248355;250;250;0.15418151359251051;0.98872349287495442;0.15190720149330567;0.98524912587629887;0.55010491601691991;0.83975764910050377;0.46141912787037026;0.83878386546936101;0.94723880129107696
0.031;0.13423719752819999;-8.2747235624756854;0.0026904381364066762;0.40501725711989151;0.0096026777113879837;255.83272243142113;250;250;0.15417639696874075;0.98872406320865691;0.1519019797396067;0.98524795446092062;0.55010984506748717;0.83975193925593605;0.46141987527700734;0.83877770851456146;0.94725337173987956
0.032000000000000001;0.13423663793851995;-8.2794391958563764;0.0026906639769683485;0.40502168765499835;0.0096047047065150326;255.83214972025922;250;250;0.15417911922610655;0.988720314382319;0.15190408273536085;0.9852441984221656;0.55011070349473368;0.83975183027016942;0.46142052561384889;0.83877758182588458;0.94725297930728314
0.033000000000000002;0.13423239092378908;-8.2865661947810274;0.0026917531466903741;0.40504079682708083;0.0096104020460639206;255.82780311668014;250;250;0.15419026335126224;0.98870114693624744;0.15191204960153137;0.98522465880649779;0.55011327110502739;0.83974921982845085;0.46142114960746017;0.83877480119792613;0.94725000073883336
0.034000000000000002;0.13423905391049606;-8.2875130027238484;0.0026909029330309661;0.4050263333243046;0.0096052941706109597;255.83462234221636;250;250;0.15418219399651278;0.98871533299632719;0.15190630885906883;0.98523898850800229;0.5501127040620023;0.83975096810569216;0.46142168538300926;0.8387766397247266;0.9472546735525661
0.035000000000000003;0.13423488318679999;-8.2937950461692402;0.0026918551416838677;0.40504314570419131;0.0096099859086952073;255.83035382179403;250;250;0.15419196871097168;0.98869864849890488;0.15191332455663026;0.98522203086587035;0.5501148058460803;0.83974880132040919;0.46142218228056309;0.83877433833269155;0.94725174868507744
0.036000000000000004;0.13426056245378246;-8.2962827056468704;0.0026916331132369924;0.40503411190671507;0.0096075888006004889;255.85663514074528;250;250;0.15418768071322692;0.98869394040508762;0.15190799101321489;0.98521483889330941;0.55012150874859556;0.83973999982970671;0.46142260106979682;0.83876487963437552;0.94726975190251406
0.036999999999999998;0.13423321602902402;-8.2999833322883809;0.0026918609340413789;0.40504462175729727;0.009610139082580741;255.82864757036049;250;250;0.15419296743364355;0.98869950846479537;0.15191449969027715;0.9852232706764209;0.55011474952964645;0.83975029548089986;0.46142301204582792;0.83877593254925298;0.94725057943873481
0.037999999999999999;0.13423603890354532;-8.3012314058662628;0.0026913419608009439;0.40503598543421976;0.0096067197493808869;255.83153663876649;250;250;0.154188118991753;0.98870875784734458;0.15191118645821688;0.9852327627548404;0.55011404211504844;0.83975191496350365;0.46142336316948768;0.83877764944052746;0.94725255920561091
0.039;0.13423706171924962;-8.3037891961456509;0.0026912964793496881;0.40503535646954225;0.0096065236904977064;255.83258343797723;250;250;0.15418786455256703;0.98870944041561437;0.15191104376652095;0.98523346313503268;0.55011432880101141;0.8397520463162792;0.46142367980442972;0.83877778790113455;0.94725327649946811
0.040000000000000001;0.13424009634087222;-8.3043142891311348;0.0026906328984984467;0.40502444491556922;0.0096026018487813617;255.83568921505963;250;250;0.15418167360712004;0.98872116393594911;0.15190680428342054;0.98524552710786995;0.55011321372077504;0.8397541121621882;0.461423953873774;0.83877998631020401;0.94725540454180968
0.041000000000000002;0.13423742127670218;-8.308711490669225;0.0026912703660069842;0.40503544265587588;0.0096060445401668776;255.83295142644033;250;250;0.15418805710145211;0.98871013048114598;0.15191136278333756;0.9852343017940971;0.55011459367482962;0.83975260529268225;0.46142423197588978;0.83877838777830294;0.94725352864997237
